order_id,order_volume,warehouse_processing_time,shipment_distance,traffic_conditions,weather_indicator,delivery_partner_rating,historical_delivery_performance,day_of_week,is_peak_season,priority,delivery_status
ORD000001,39,2.71,1389.74,High,9.78,4.08,0.31,Thu,1,Express,Delayed
ORD000002,29,2.44,1835.33,Low,9.67,3.52,0.36,Tue,1,Express,At Risk
ORD000003,15,0.69,1452.73,Medium,0.06,4.89,0.38,Mon,1,Standard,Delayed
ORD000004,43,2.64,153.85,Medium,5.32,4.64,0.19,Fri,0,Express,On-Time
ORD000005,8,4.65,808.78,High,3.37,2.68,0.51,Fri,0,Standard,Delayed
ORD000006,21,0.51,10.09,Medium,2.91,2.72,0.77,Wed,0,Express,At Risk
ORD000007,39,2.62,1024.86,High,5.96,3.54,0.56,Mon,1,Standard,Delayed
ORD000008,19,7.11,390.44,Medium,4.46,2.52,0.66,Wed,0,Standard,Delayed
ORD000009,23,4.95,1736.95,High,7.33,2.74,0.6,Fri,0,Prime,On-Time
ORD000010,11,5.06,213.15,Low,0.27,4.83,0.06,Tue,0,Express,At Risk
ORD000011,11,3.53,7.86,Medium,9.27,4.48,0.19,Sat,0,Prime,On-Time
ORD000012,24,5.57,905.04,High,5.68,4.18,0.35,Mon,0,Prime,At Risk
ORD000013,36,1.92,315.09,Medium,6.84,4.58,0.89,Mon,0,Express,On-Time
ORD000014,40,6.64,1477.28,High,6.05,3.13,0.35,Wed,1,Express,Delayed
ORD000015,24,1.38,1840.27,Medium,9.89,4.31,0.33,Sun,0,Prime,At Risk
ORD000016,3,5.42,88.67,Medium,9.86,4.04,0.08,Wed,0,Express,Delayed
ORD000017,22,3.06,794.19,Medium,6.1,4.62,0.97,Tue,0,Standard,At Risk
ORD000018,2,6.11,1993.65,Medium,6.84,3.21,0.78,Mon,0,Standard,Delayed
ORD000019,24,4.62,1466.68,Low,6.19,4.41,0.77,Sun,0,Standard,At Risk
ORD000020,44,3.89,1906.61,Low,3.11,4.63,0.38,Fri,0,Standard,At Risk
ORD000021,30,1.77,332.35,High,1.93,3.87,0.08,Fri,0,Standard,Delayed
ORD000022,38,5.28,446.63,High,4.03,3.53,0.26,Thu,0,Standard,At Risk
ORD000023,2,7.81,313.85,Low,6.83,4.87,0.85,Fri,0,Prime,On-Time
ORD000024,21,6.69,608.23,Medium,0.56,2.92,0.18,Sat,0,Express,Delayed
ORD000025,33,0.95,1450.15,Medium,5.14,2.59,0.89,Sat,0,Standard,Delayed
ORD000026,12,3.32,334.07,Medium,4.08,2.95,0.54,Thu,0,Standard,Delayed
ORD000027,22,7.44,1050.85,Medium,5.27,4.21,0.71,Thu,1,Express,Delayed
ORD000028,44,4.27,542.07,Medium,8.6,4.47,0.45,Wed,0,Standard,On-Time
ORD000029,25,5.47,1659.25,Medium,0.48,4.29,0.93,Fri,0,Standard,Delayed
ORD000030,49,7.34,18.15,Medium,7.64,3.55,0.24,Thu,1,Express,At Risk
ORD000031,27,7.05,450.11,Medium,6.67,4.92,0.57,Sun,0,Standard,At Risk
ORD000032,42,4.26,1212.46,Medium,2.04,3.61,0.07,Fri,1,Express,Delayed
ORD000033,28,3.78,197.94,Medium,7.34,4.95,0.48,Fri,0,Standard,On-Time
ORD000034,16,3.05,935.29,Medium,4.96,4.8,0.97,Fri,0,Standard,On-Time
ORD000035,15,5.89,875.23,Medium,4.81,3.52,0.09,Tue,0,Express,At Risk
ORD000036,47,2.65,1705.78,Medium,4.83,2.9,0.51,Thu,0,Standard,Delayed
ORD000037,44,2.37,1252.67,Medium,9.49,2.72,0.6,Sat,1,Standard,Delayed
ORD000038,3,3.17,1281.21,Medium,9.44,3.83,0.93,Fri,0,Express,At Risk
ORD000039,37,1.83,1903.86,Medium,9.14,4.41,0.3,Sun,0,Express,Delayed
ORD000040,7,5.71,1964.81,Medium,8.87,2.94,0.5,Wed,1,Standard,Delayed
ORD000041,21,5.12,1308.52,Medium,0.38,3.3,0.99,Tue,0,Standard,Delayed
ORD000042,9,4.12,1046.39,Medium,4.01,4.08,0.77,Thu,1,Standard,At Risk
ORD000043,39,3.43,1217.8,Medium,8.95,3.65,0.81,Mon,0,Standard,At Risk
ORD000044,18,7.32,767.98,Medium,7.55,4.01,0.78,Thu,0,Prime,On-Time
ORD000045,4,0.72,1974.98,Low,4.57,4.19,0.52,Tue,0,Standard,At Risk
ORD000046,25,6.27,1411.52,Low,7.73,3.45,0.43,Wed,1,Standard,Delayed
ORD000047,14,7.26,585.56,Medium,2.08,4.46,0.25,Sun,1,Standard,Delayed
ORD000048,9,3.85,120.24,Low,6.0,4.26,0.47,Tue,0,Express,On-Time
ORD000049,26,4.63,94.22,Medium,5.33,4.22,0.02,Fri,0,Prime,On-Time
ORD000050,2,7.58,413.8,Low,5.74,2.87,0.1,Sat,0,Express,Delayed
ORD000051,20,2.09,469.66,Medium,7.22,3.69,0.29,Sat,1,Standard,At Risk
ORD000052,28,4.4,833.02,Medium,9.5,3.94,0.33,Tue,1,Prime,On-Time
ORD000053,47,4.06,433.62,Medium,2.64,3.07,0.71,Mon,0,Standard,At Risk
ORD000054,7,2.44,1263.67,Medium,7.58,4.4,0.17,Mon,0,Standard,At Risk
ORD000055,44,6.64,426.45,Medium,6.45,2.8,0.8,Sun,1,Standard,Delayed
ORD000056,8,7.25,379.81,Low,6.95,2.87,0.8,Fri,0,Express,At Risk
ORD000057,47,6.36,945.12,Medium,4.29,3.53,0.59,Fri,0,Standard,At Risk
ORD000058,35,1.97,1777.89,Low,9.45,2.84,0.49,Mon,0,Standard,At Risk
ORD000059,14,1.15,939.27,Low,4.8,2.53,0.47,Sat,1,Prime,At Risk
ORD000060,17,5.04,830.63,Low,1.22,3.53,0.42,Wed,0,Prime,On-Time
ORD000061,36,0.93,1158.3,Low,6.81,4.12,0.09,Sun,1,Prime,At Risk
ORD000062,40,5.55,518.14,High,1.29,3.74,0.66,Sat,1,Standard,Delayed
ORD000063,4,4.48,710.11,Medium,3.23,2.63,0.58,Sun,0,Standard,Delayed
ORD000064,2,5.47,431.6,Medium,2.28,3.08,0.02,Sat,0,Express,On-Time
ORD000065,6,4.93,1145.76,High,5.39,3.81,0.2,Tue,0,Express,Delayed
ORD000066,42,3.67,1396.29,Low,3.48,4.35,0.44,Mon,0,Express,At Risk
ORD000067,4,2.01,1349.03,Medium,1.6,4.48,0.9,Fri,0,Prime,At Risk
ORD000068,29,2.79,513.36,High,7.91,3.8,0.99,Fri,0,Standard,On-Time
ORD000069,18,4.43,1560.4,High,4.68,4.12,0.75,Wed,0,Standard,At Risk
ORD000070,26,5.39,515.63,Low,4.54,4.76,0.75,Thu,0,Standard,At Risk
ORD000071,44,6.35,304.87,Medium,8.86,2.66,0.42,Fri,1,Express,Delayed
ORD000072,34,6.25,702.87,Low,5.39,2.75,0.57,Wed,0,Prime,At Risk
ORD000073,10,7.8,1197.5,Medium,7.1,3.64,0.23,Mon,1,Express,Delayed
ORD000074,36,2.64,288.29,Medium,3.28,4.02,0.74,Thu,0,Express,On-Time
ORD000075,14,1.03,1297.93,Medium,5.61,2.51,0.06,Mon,1,Express,Delayed
ORD000076,31,3.09,1726.82,Low,7.26,3.63,0.42,Wed,1,Prime,At Risk
ORD000077,48,6.07,589.82,Low,2.96,2.93,0.83,Sun,0,Prime,Delayed
ORD000078,15,3.79,903.16,Low,6.89,4.11,0.98,Mon,1,Prime,On-Time
ORD000079,8,6.63,460.48,Low,5.69,3.17,0.7,Tue,0,Standard,At Risk
ORD000080,14,4.62,725.72,Low,4.34,4.75,0.2,Wed,1,Standard,At Risk
ORD000081,23,7.47,48.83,High,7.13,2.66,0.57,Thu,1,Standard,Delayed
ORD000082,40,7.61,1907.77,Medium,3.17,4.52,0.56,Sun,1,Standard,Delayed
ORD000083,21,1.02,834.7,Low,7.15,3.48,0.97,Fri,0,Standard,On-Time
ORD000084,16,3.92,1578.8,Medium,5.51,4.64,0.84,Mon,0,Express,At Risk
ORD000085,45,5.07,289.57,Medium,2.46,4.54,0.05,Wed,0,Express,At Risk
ORD000086,18,2.42,1625.65,Medium,6.68,3.1,0.22,Mon,0,Prime,At Risk
ORD000087,47,3.55,1720.99,Medium,8.85,2.63,0.84,Sat,0,Standard,Delayed
ORD000088,24,5.58,1432.38,Low,3.1,4.24,0.97,Wed,0,Standard,At Risk
ORD000089,26,2.2,1806.9,Medium,8.12,3.01,0.29,Sat,1,Express,Delayed
